event_cd,start_bases_cd,outs_ct,bat_dest_id,run1_dest_id,run2_dest_id,run3_dest_id,0
2,0,0,0,0,0,0,223284
2,0,1,0,0,0,0,158988
2,0,2,0,0,0,0,124016
2,1,0,0,1,0,0,22694
2,1,1,0,1,0,0,27717
2,1,2,0,1,0,0,48343
2,2,0,0,0,3,0,8618
2,2,1,0,0,2,0,13140
2,2,2,0,0,2,0,29935
2,3,0,0,1,2,0,3941
2,3,1,0,1,2,0,8165
2,3,2,0,1,2,0,22192
2,4,0,0,0,0,3,1135
2,4,1,0,0,0,4,3775
2,4,2,0,0,0,3,12474
2,5,0,0,1,0,4,1054
2,5,1,0,1,0,4,2300
2,5,2,0,1,0,3,10416
2,6,0,0,0,2,3,1201
2,6,1,0,0,3,4,2007
2,6,2,0,0,2,3,7766
2,7,0,0,1,2,3,740
2,7,1,0,1,2,3,1625
2,7,2,0,1,2,3,8093
3,0,0,0,0,0,0,95482
3,0,1,0,0,0,0,74704
3,0,2,0,0,0,0,61662
3,1,0,0,1,0,0,16529
3,1,1,0,1,0,0,21116
3,1,2,0,1,0,0,24956
3,2,0,0,0,2,0,5731
3,2,1,0,0,2,0,10992
3,2,2,0,0,2,0,15195
3,3,0,0,1,2,0,4590
3,3,1,0,1,2,0,8645
3,3,2,0,1,2,0,12623
3,4,0,0,0,0,3,934
3,4,1,0,0,0,3,3323
3,4,2,0,0,0,3,6269
3,5,0,0,1,0,3,1465
3,5,1,0,1,0,3,3111
3,5,2,0,1,0,3,5359
3,6,0,0,0,2,3,1191
3,6,1,0,0,2,3,2770
3,6,2,0,0,2,3,4239
3,7,0,0,1,2,3,1307
3,7,1,0,1,2,3,3212
3,7,2,0,1,2,3,4722
14,0,0,1,0,0,0,33429
14,0,1,1,0,0,0,25234
14,0,2,1,0,0,0,22412
14,1,0,1,2,0,0,6233
14,1,1,1,2,0,0,7974
14,1,2,1,2,0,0,8790
14,2,0,1,0,2,0,2854
14,2,1,1,0,2,0,5582
14,2,2,1,0,2,0,7383
14,3,0,1,2,3,0,1634
14,3,1,1,2,3,0,3366
14,3,2,1,2,3,0,4636
14,4,0,1,0,0,3,478
14,4,1,1,0,0,3,1833
14,4,2,1,0,0,3,3269
14,5,0,1,2,0,3,526
14,5,1,1,2,0,3,1255
14,5,2,1,2,0,3,2181
14,6,0,1,0,2,3,557
14,6,1,1,0,2,3,1329
14,6,2,1,0,2,3,2027
14,7,0,1,2,3,4,399
14,7,1,1,2,3,4,1023
14,7,2,1,2,3,4,1517
16,0,0,1,0,0,0,4047
16,0,1,1,0,0,0,2865
16,0,2,1,0,0,0,2290
16,1,0,1,2,0,0,967
16,1,1,1,2,0,0,1171
16,1,2,1,2,0,0,1033
16,2,0,1,0,2,0,364
16,2,1,1,0,2,0,576
16,2,2,1,0,2,0,716
16,3,0,1,2,3,0,245
16,3,1,1,2,3,0,452
16,3,2,1,2,3,0,619
16,4,0,1,0,0,3,53
16,4,1,1,0,0,3,254
16,4,2,1,0,0,3,295
16,5,0,1,2,0,3,92
16,5,1,1,2,0,3,240
16,5,2,1,2,0,3,294
16,6,0,1,0,2,3,76
16,6,1,1,0,2,3,215
16,6,2,1,0,2,3,178
16,7,0,1,2,3,4,82
16,7,1,1,2,3,4,191
16,7,2,1,2,3,4,213
18,0,0,1,0,0,0,3161
18,0,1,1,0,0,0,2093
18,0,2,1,0,0,0,1700
18,1,0,1,2,0,0,799
18,1,1,1,2,0,0,828
18,1,2,1,2,0,0,544
18,2,0,1,0,3,0,158
18,2,1,1,0,3,0,192
18,2,2,1,0,3,0,297
18,3,0,1,2,3,0,216
18,3,1,1,2,3,0,285
18,3,2,1,2,3,0,206
18,4,0,1,0,0,4,25
18,4,1,1,0,0,4,104
18,4,2,1,0,0,4,156
18,5,0,1,2,0,4,79
18,5,1,1,2,0,4,173
18,5,2,1,2,0,4,116
18,6,0,1,0,3,4,21
18,6,1,1,0,3,4,62
18,6,2,1,0,3,4,62
18,7,0,1,2,3,4,58
18,7,1,1,2,3,4,157
18,7,2,1,2,3,4,95
20,0,0,1,0,0,0,69626
20,0,1,1,0,0,0,49322
20,0,2,1,0,0,0,38347
20,1,0,1,2,0,0,12512
20,1,1,1,2,0,0,14511
20,1,2,1,2,0,0,12043
20,2,0,1,0,3,0,2833
20,2,1,1,0,3,0,3298
20,2,2,1,0,4,0,5573
20,3,0,1,2,3,0,2119
20,3,1,1,2,3,0,2919
20,3,2,1,2,4,0,2752
20,4,0,1,0,0,4,825
20,4,1,1,0,0,4,2947
20,4,2,1,0,0,4,3601
20,5,0,1,2,0,4,1225
20,5,1,1,2,0,4,2498
20,5,2,1,2,0,4,2566
20,6,0,1,0,3,4,549
20,6,1,1,0,3,4,1122
20,6,2,1,0,4,4,1327
20,7,0,1,2,3,4,667
20,7,1,1,2,3,4,1373
20,7,2,1,2,4,4,936
21,0,0,2,0,0,0,22014
21,0,1,2,0,0,0,14856
21,0,2,2,0,0,0,11723
21,1,0,2,3,0,0,3178
21,1,1,2,3,0,0,3531
21,1,2,2,4,0,0,2540
21,2,0,2,0,4,0,1361
21,2,1,2,0,4,0,2193
21,2,2,2,0,4,0,2846
21,3,0,2,3,4,0,750
21,3,1,2,3,4,0,1275
21,3,2,2,4,4,0,1238
21,4,0,2,0,0,4,218
21,4,1,2,0,0,4,821
21,4,2,2,0,0,4,1185
21,5,0,2,3,0,4,285
21,5,1,2,3,0,4,619
21,5,2,2,4,0,4,555
21,6,0,2,0,4,4,279
21,6,1,2,0,4,4,609
21,6,2,2,0,4,4,693
21,7,0,2,3,4,4,239
21,7,1,2,3,4,4,510
21,7,2,2,4,4,4,446
22,0,0,3,0,0,0,2282
22,0,1,3,0,0,0,1489
22,0,2,3,0,0,0,1113
22,1,0,3,4,0,0,404
22,1,1,3,4,0,0,528
22,1,2,3,4,0,0,543
22,2,0,3,0,4,0,120
22,2,1,3,0,4,0,254
22,2,2,3,0,4,0,349
22,3,0,3,4,4,0,96
22,3,1,3,4,4,0,196
22,3,2,3,4,4,0,295
22,4,0,3,0,0,4,24
22,4,1,3,0,0,4,130
22,4,2,3,0,0,4,125
